PMC_ID,PMC_Year,Journal,Article Title,Secondary analysis,Data availability statement (yes/no),Data availability (yes/no),"If Data availability = yes, where do they share data? (SRA/GEO/other)","If other database, specifiy which one",Code availability statement (Yes/No),Code availability (Yes/No (reason)),Code availability (Yes/No),"If Code availability = yes,  What kind of code do they share?","If Code availability = yes, where do they share code (supplementary/ GitHub/ other)","If Code availability = yes, do they share the code as notebook or R markdown file (.Rmd)? (yes/no)","If yes, notebook/Rmd","If yes, single/ multiple",Summary data (yes/ no/ partial),Number of citations,Gender of the PI,"Experience of PI/ Last author (Check their profile or webpage to see whether they are an associate/ assistant/ professor/ professor emiretus, etc)",PI/ last author's training background - CS/ Bioinformatics/ Other,PI (last author's) education level - PhD/PostDoc/ Master's etc,First author's education level,First author's training background (CS/ Bioinformatics/ Other)
PMC6761931,2019,Bioinformatics,GREP: genome for REPositioning drugs,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,12,Male,Professor,Statistical genetics,"MD,Phd",Phd,Genetics
PMC6612875,2019,Bioinformatics,Representation transfer for differentially private drug sensitivity prediction,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,32,Male,Professor,CS,Phd,,
PMC6612853,2019,Bioinformatics,Drug repositioning based on bounded nuclear norm regularization,no,no,no,,,Yes,Yes,Yes,Tool,GitHub,no,,,yes,29,Male,Professor,CS,Phd,Phd,CS
PMC6761967,2019,Bioinformatics,Driver network as a biomarker: systematic integration and network modeling of multi-omics data to derive driver signaling pathways for drug combination prediction,yes,,,,,No,Yes,Yes,Tool,GitHub,no,,,no,43,Male,Professor,CS,Postdoc,Phd,CS
PMC6937815,2019,BMC_Bioinformatics,Benchmarking the PEPOP methods for mimicking discontinuous epitopes,no,yes,no,,,No,No,No,no,no,no,,,no,62,Female,Deputy Director,Other,Phd,,
PMC6886252,2019,BMC_Bioinformatics,Liver tumor segmentation in CT volumes using an adversarial densely connected network,no,yes,no,,,No,No,No,no,no,no,,,no,33,Male,Professor,CS,Phd,Phd,CS
PMC6884776,2019,BMC_Bioinformatics,Predicting protein inter-residue contacts using composite likelihood maximization and deep learning,no,yes,no,,,Yes,No (link does Not work),No,no,no,no,,,no,59,Male ,Associate Professor,CS,Phd,Postdoc,CS
PMC6734328,2019,BMC_Bioinformatics,BINDER: computationally inferring a gene regulatory network for Mycobacterium abscessus,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,72,Female,Professor,Other,Postdoc,Md,Other
PMC6929343,2019,BMC_Bioinformatics,An automated 3D modeling pipeline for constructing 3D models of MONOGENEAN HARDPART using machine learning techniques,no,yes,No (Available upon request),,,No,No,No,no,no,no,,,no,36,Female,Associate Professor,"CS, Bioinformatics",Phd,Phd,Bioinformatics
PMC6557762,2019,BMC_Bioinformatics,A new fruit fly optimization algorithm enhanced support vector machine for diagnosis of breast cancer based on high-level features,no,yes,No (Available upon request),,,No,No,No,no,no,no,,,no,49,Male,Associate Chief Physician,Other,MD,,
PMC6941187,2019,BMC_Bioinformatics,Venn-diaNet : venn diagram based network propagation analysis framework for comparing multiple biological experiments,no,no,yes,GEO,,Yes,Yes,Yes,tool,GitHub,no,,,yes,37,Male,Professor,CS,Phd,Phd,Bioinformatics
PMC6528302,2019,BMC_Bioinformatics,Weekly ILI patient ratio change prediction using news articles with support vector machine,yes,,,,,No,No,No,no,no,no,,,no,19,Female,Team Leader,"Other, Biotechnology",Phd,,
PMC6827178,2019,BMC_Bioinformatics,Predictive modelling using pathway scores: robustness and significance of pathway collections,yes,,,,,No,No,No,no,no,no,,,no,25,Male,Professor,Other,Postdoc,,
PMC6421703,2019,BMC_Bioinformatics,MGSEA – a multivariate Gene set enrichment analysis,yes,,,,,Yes,Yes,Yes,tool,downloadable file,no,,,no,30,Male,Associate Researcher,CS,Phd,Postdoc,Bioinformatics
PMC6463664,2019,Genome_Biol,Analysis of the recombination landscape of hexaploid bread wheat reveals genes controlling recombination and gene conversion frequency,no,yes,no,,,No,No,No,no,no,no,,,no,54,Male,Professor,Other,Phd,Phd,Bioinformatics
PMC6423771,2019,Genome_Biol,Measuring the reproducibility and quality of Hi-C data,no,yes,no,,,Yes,Yes,Yes,Package,GitHub + Zenodo,no,,,yes,48,Male,Professor,CS,Phd,Postdoc,Computional Biology
PMC6472072,2019,Genome_Biol,Bazam: a rapid method for read extraction and realignment of high-throughput sequencing data,no,yes,no,,,Yes,Yes,Yes,tool,Zenodo,no,,,yes,10,Female,Head ,Other ,Phd,Phd,Bioinformatics
PMC6489363,2019,Genome_Biol,Measuring sequencer size bias using REcount: a novel method for highly accurate Illumina sequencing-based quantification,no,yes,no,,,Yes,Yes,Yes,Package,Zenodo,no,,,yes,56,Male,Director of Reseach,Other,Phd,Phd,Other
PMC6862797,2019,Genome_Biol,Population-level analysis reveals the widespread occurrence and phenotypic consequence of DNA methylation variation not tagged by genetic variation in maize,yes,,,,,No,No,No,no,no,no,,,no,74,Male ,Professor,Other,Phd,Masters,Other
PMC6631995,2019,Genome_Biol,"Stable enhancers are active in development, and fragile enhancers are associated with evolutionary adaptation",yes,,,,,No,No,No,no,no,no,,,no,54,Male,Senior Investigator,Computational Biology,Phd,Phd,"Other,Information Technology"
PMC6816165,2019,Genome_Biol,RaGOO: fast and accurate reference-guided scaffolding of draft genomes,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,59,Male,Professor,CS,Phd,Phd ,CS
PMC6927181,2019,Genome_Biol,Normalization and variance stabilization of single-cell RNA-seq data using regularized negative binomial regression,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,39,Male,Associate Professor,"Other, Statistics",Phd,Postdoc,Computional Biology
PMC6883653,2019,Genome_Biol,ReorientExpress: reference-free orientation of nanopore cDNA reads with deep learning,yes,,,,,Yes,Yes,Yes,Package,GitHub + Zenodo,no,,,yes,23,Male,Professor,Other,Phd,,
PMC6927166,2019,Genome_Biol,tmap: an integrative framework based on topological data analysis for population-scale microbiome stratification and association studies,yes,,,,,Yes,Yes,Yes,Package,GitHub + Zenodo,no,,,yes,62,,,,,,
PMC6865045,2019,Genome_Med,Artificial intelligence in clinical and genomic diagnostics,no,no,no,,,No,No,No,,,,,,no,97,Male,Professor,"Other, Biomedical Sciences",Phd,Phd,Other
PMC6938604,2019,Genome_Med,Keeping up with the genomes: scaling genomic variant interpretation,no,no,no,,,No,No,No,,,,,,no,11,Male,Associate Professor,Other,Phd,Phd,Genetics
PMC6916512,2019,Genome_Med,Genomics of circadian rhythms in health and disease,no,no,no,,,No,No,No,,,,,,no,190,Male,Professor,Other,Postdoc,Phd,Other
PMC6440005,2019,Genome_Med,Translating insights into tumor evolution to clinical practice: promises and challenges,no,no,no,,,No,No,No,,,,,,no,159,Male,Visiting Scientist ,Other,Postdoc,Phd,Other
PMC6660700,2019,Genome_Med,A clinical survey of mosaic single nucleotide variants in disease-causing genes detected by exome sequencing,no,yes,no,,,No,No,No,,,,,,no,35,Male,Professor,"Other,Genetics","MD,Postdoc",Phd,Other
PMC6822339,2019,Genome_Med,pTuneos: prioritizing tumor neoantigens from next-generation sequencing data,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,no,55,Female,Associate Professor,Bioinformatics,Phd,,
PMC6767648,2019,Genome_Med,Identifying Crohn’s disease signal from variome analysis,no,yes,no,,,No,Yes,Yes,software,Other (Website),no,,,yes,58,Female,Associate Professor,Bioinformatics,Phd,Phd,Bioinformatics
PMC6540526,2019,Genome_Med,Prognostic value of B cells in cutaneous melanoma,no,yes,yes,GEO,,No,No,No,,,,,,no,50,Male,Assistant Professor ,Other,MD,Phd,Bioinformatics
PMC6916105,2019,Genome_Med,FIREVAT: finding reliable variants without artifacts in human cancer samples using etiologically relevant mutational signatures,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,68,Male,Professor,,,,
PMC6661746,2019,Genome_Med,Molecular and pharmacological modulators of the tumor immune contexture revealed by deconvolution of RNA-seq data,yes,,,,,Yes,Yes,Yes,Pipeline,Other (Website),no,,,no,66,Male,Professor,"Other,Biomedical Engineering",Phd,Postdoc,Bioinformatics
PMC6554452,2019,Nat_Biotechnol,Highly efficient expression of circular RNA aptamers in cells using autocatalytic transcripts,no,yes,no,,,No,No,No,,,,,,no,59,Male,Professor,Other,"MD,Phd",Phd,Other
PMC6894935,2019,Nat_Biotechnol,A highly soluble Sleeping Beauty transposase improves control of gene insertion,no,yes,no,,,No,No,No,,,,,,no,75,Female,Professor,Other,Phd,Phd,Other
PMC7145761,2019,Nat_Biotechnol,An electroencephalographic signature predicts antidepressant response in major depression,no,yes,no,,,Yes,No (Cannot find the code),No,,,,,,no,70,Male,Professor,Other,"MD,Phd",Postdoc,Other
PMC6954335,2019,Nat_Biotechnol,In situ readout of DNA barcodes and single base edits facilitated by in vitro transcription,no,yes,no,,,Yes,Yes,Yes,software,,no,,,no,70,Male,Professor,Other,Phd,Postdoc,Other
PMC6587591,2019,Nat_Biotechnol,Capturing sequence diversity in metagenomes with comprehensive and scalable probe design,no,yes,yes,other,ENA,Yes,Yes,Yes,Package,GitHub,no,,,yes,75,Male,Director,Other,Postdoc,Phd,CS
PMC6956735,2019,Nat_Biotechnol,A community effort to create standards for evaluating tumor subclonal reconstruction,no,yes,yes,other,EGA,Yes,Yes,Yes,Package,GitHub,no,,,yes,53,Male,Professor,Other,Phd,Phd,Other
PMC6858544,2019,Nat_Biotechnol,Targeted isolation and cultivation of uncultivated bacteria by reverse genomics,yes,,,,,No,No,No,,,,,,no,94,Male,Group Leader,"Other,Genetics",Phd,Phd,Other
PMC6730565,2019,Nat_Biotechnol,CRISPR DNA base editors with reduced RNA off-target and self-editing activities,yes,,,,,Yes,No (available upon request),No,,,,,,no,24,Male,Professor,"Other,Genetics","MD,Phd",MD,Other
PMC7065968,2019,Nat_Biotechnol,Titrating gene expression using libraries of systematically attenuated CRISPR guide RNAs,yes,,,,,Yes,No (available upon request),No,,,,,,no,53,Male,Professor,Other,Phd,Phd,Other
PMC6893138,2019,Nat_Biotechnol,High-throughput sequencing of the transcriptome and chromatin accessibility in the same cell,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,19,Male,Professor,Other,Phd,Postdoc,Other
PMC6974401,2019,Nat_Genet,Identifying cross-disease components of genetic risk across hospital data in the UK Biobank,no,yes,no,,,No,No,No,,,,,,no,45,Male,Professor,Other,BA,Postdoc,Bioinformatics
PMC6917484,2019,Nat_Genet,The impact of short tandem repeat variation on gene expression,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,yes,notebook,multiple,yes,68,Female,Assistant Professor ,"CS, Bioinformatics",Phd,Phd,Bioinformatics
PMC6726478,2019,Nat_Genet,Inferring whole-genome histories in large population datasets,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,yes,notebook,single,yes,60,Male,Professor,Other,BA,Postdoc,CS
PMC6686906,2019,Nat_Genet,Accurate estimation of SNP-heritability from biobank-scale data irrespective of genetic architecture,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,47,Male,Associate Professor,"CS, Bioinformatics",Postdoc,MS,Bioinformatics
PMC6443099,2019,Nat_Genet,Transposable elements drive widespread expression of oncogenes in human cancers,yes,,,,,Yes,No,No,,,,,,yes,58,Male,Professor,Computational Biology,Phd,,
PMC6441365,2019,Nat_Genet,Retinal transcriptome and eQTL analyses identify genes associated with age-related macular degeneration,yes,,,,,No,No,No,,,,,,no,52,Male,Professor,Other,Phd,Postdoc,"Other, Genetics"
PMC7610650,2019,Nat_Genet,Determining protein structures using deep mutagenesis,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,73,Male,Professor,Other,Postdoc,Phd,Other
PMC6756480,2019,Nat_Genet,A pooled single-cell genetic screen identifies regulatory checkpoints in the continuum of the epithelial-to-mesenchymal transition,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,64,Male,Associate Professor,CS,Postdoc,Phd,Other
PMC6755913,2019,Nat_Genet,The ATPase module of mammalian SWI/SNF family complexes mediates subcomplex identity and catalytic activity-independent genomic targeting,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,39,Female,Associate Professor,Other,Phd,Postdoc,"Other, Genetics"
PMC7451045,2019,Nat_Genet,Neuronal impact of patient-specific aberrant NRXN1α splicing,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,83,Female,Professor,Other,Phd,Phd,Other
PMC6546603,2019,Nat_Methods,Bioluminescent-based imaging and quantification of glucose uptake in vivo,no,yes,no,,,No,No,No,,,,,,no,46,Female,Associate Professor,Other,Postdoc,Postdoc,Other
PMC6549241,2019,Nat_Methods,"Aromatic 19F-13C TROSY: A background-free approach to probe biomolecular structure, function and dynamics",no,yes,no,,,No,No,No,,,,,,no,53,Male,Associate Professor,Other,Phd,Postdoc,Other
PMC6532422,2019,Nat_Methods,A photo-cleavable surfactant for top-down proteomics,no,yes,no,,,No,No,No,,,,,,no,33,Female,Professor,Other,Phd,Postdoc,Other
PMC6599567,2019,Nat_Methods,LADL: Light-activated dynamic looping for endogenous gene expression control,no,no,no,,,Yes,No (available upon request),No,,,,,,no,28,Female,Assistant Professor ,Other,Phd,Postdoc,"Other, Genomics"
PMC6885017,2019,Nat_Methods,Real-time volumetric microscopy of in-vivo dynamics and large-scale samples with SCAPE 2.0,no,no,no,,,Yes,No (available upon request),No,,,,,,no,51,Female,Professor,Other,Postdoc,Phd,Other
PMC6949130,2019,Nat_Methods,DIA-NN: Neural networks and interference correction enable deep proteome coverage in high throughput,no,yes,no,,,Yes,Yes,Yes,Software,GitHub,no,,,yes,32,Male,Professor,"Other, Genetics",Phd,,
PMC7004891,2019,Nat_Methods,An adaptive excitation source for high speed multiphoton microscopy,no,no,no,,,Yes,Yes,Yes,Matlab,GitHub,no,,,no,21,Male,Professor,Other,Phd,Postdoc,CS
PMC6519746,2019,Nat_Methods,One-step generation of modular CAR-T with AAV-Cpf1,yes,,,,,Yes,No (available upon request),No,,,,,,no,37,Male,Associate Professor,"Other, Genetics",Postdoc,Postdoc,Other
PMC6675608,2019,Nat_Methods,Gene expression atlas of a developing tissue by single cell expression correlation analysis,yes,,,,,Yes,Yes,Yes,software,GitHub,yes,Rmd,single,yes,32,Male,Professor,Other,Postdoc,Phd,Other
PMC7098173,2019,Nat_Methods,Benchmarking algorithms for gene regulatory network inference from single-cell transcriptomic data,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,54,Male,Professor,CS,Phd,Phd,CS
PMC6451109,2019,Nucleic_Acids_Res,SMCHD1 is involved in de novo methylation of the DUX4-encoding D4Z4 macrosatellite,no,no,no,,,No,No,No,no,no,no,,,no,58,Female,Team Leader,"Other, Genetics",Phd,Postdoc,"Other, Genetics"
PMC6943129,2019,Nucleic_Acids_Res,A single amino acid switch converts the Sleeping Beauty transposase into an efficient unidirectional excisionase with utility in stem cell reprogramming,no,no,no,,,No,No,No,no,no,no,,,no,99,Male,Professor,Other,Phd,,
PMC6468246,2019,Nucleic_Acids_Res,TRF2 positively regulates SULF2 expression increasing VEGF-A release and activity in tumor microenvironment,no,no,no,,,No,No,No,no,no,no,,,no,56,,,,,,
PMC6698742,2019,Nucleic_Acids_Res,Mapping of scaffold/matrix attachment regions in human genome: a data mining exercise,no,no,no,,,No,No,No,no,no,no,,,no,80,Male,Assistant Professor,Other,MS,MS,Bioinformatics
PMC6868433,2019,Nucleic_Acids_Res,Characterization of the Type III restriction endonuclease PstII from Providencia stuartii,no,no,no,,,No,No,No,no,no,no,,,no,68,Male,Professor,Other,Phd,,
PMC7145579,2019,Nucleic_Acids_Res,TFBSshape: an expanded motif database for DNA shape features of transcription factor binding sites,no,no,no,,,No,No,No,no,no,no,,,no,37,Male,Professor,Other,Phd,Phd,Bioinformatics
PMC6895259,2019,Nucleic_Acids_Res,Citrus exocortis viroid causes ribosomal stress in tomato plants,no,no,no,,,No,No,No,no,no,no,,,no,70,Female,Professor,Other,Phd,MS,Other
PMC7145620,2019,Nucleic_Acids_Res,CAUSALdb: a database for disease/trait causal variants identified using summary statistics of genome-wide association studies,no,no,no,,,No,Yes,Yes,pipeline,GitHub,no,,,yes,57,Male,Professor,Bioinformatics,Postdoc,Phd,Other
PMC6736032,2019,Nucleic_Acids_Res,Metal sensing and regulation of adaptive responses to manganese limitation by MtsR is critical for group A streptococcus virulence,no,yes,yes,GEO,,No,No,No,,,,,,no,82,Male,Associate Professor,Other,Postdoc,Postdoc,Other
PMC7038986,2019,Nucleic_Acids_Res,Disentangling sRNA-Seq data to study RNA communication between species,no,yes,yes,GEO,,No,Yes,Yes,pipeline,GitHub,yes,Rmd,single,no,66,Male,Assistant Professor,Other,Phd,Phd,Other
PMC7355292,2020,Bioinformatics,MHCAttnNet: predicting MHC-peptide bindings for MHC alleles classes I and II using an attention-based deep neural model,no,no,no,,,Yes,Yes,Yes,Package,girthub,no,,,no,48,Male,Professor,CS,Phd,MS,CS
PMC7355262,2020,Bioinformatics,Unsupervised topological alignment for single-cell multi-omics integration,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,no,27,Male,Professor,Other,Phd,Phd,Bioinformatics
PMC7355291,2020,Bioinformatics,Copy number evolution with weighted aberrations in cancer,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,no,60,Male,Professor,Other,Phd,Phd,CS
PMC7750928,2020,Bioinformatics,LuxUS: DNA methylation analysis using generalized linear mixed model with spatial correlation,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,23,Male,Associate Professor,,,Phd,CS
PMC8336998,2020,Bioinformatics,quicksom: Self-Organizing Maps on GPUs for clustering of molecular dynamics trajectories,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,8,Male,,,,Phd,Bioinformatics
PMC8352503,2020,Bioinformatics,MethPanel: a parallel pipeline and interactive analysis tool for multiplex bisulphite PCR sequencing to assess DNA methylation biomarker panels for disease detection,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,no,17,Female,Professor,Other,Postdoc,Phd,Bioinformatics
PMC7355251,2020,Bioinformatics,TopicNet: a framework for measuring transcriptional regulatory network change,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,47,Male,Professor,Bioinformatics,Postdoc,Postdoc,Bioinformatics
PMC7320608,2020,Bioinformatics,gplas: a comprehensive tool for plasmid analysis using short-read graphs,no,no,no,,,Yes,Yes,Yes,Package,gitlab,no,,,no,15,Female,Head of Group,Bioinformatics,Postdoc,Phd,Bioinformatics
PMC7355259,2020,Bioinformatics,The locality dilemma of Sankoff-like RNA alignments,no,no,yes,other,GitHub,Yes,Yes,Yes,Package,GitHub,yes,notebook,multiple,yes,29,Male,Professor,CS,Phd,MS,Bioinformatics
PMC8097688,2020,Bioinformatics,selectBoost: a general algorithm to enhance the performance of variable selection methods,yes,,,,,Yes,Yes,Yes,Pipeline,CRAN,no,,,no,52,Female,Lecturer,Other,Phd,Phd,Other
PMC7083059,2020,BMC_Bioinformatics,2D electrophoresis image brightness correction based on gradient interval histogram,no,yes,no,,,No,No,No,,,,,,no,18,Male,Professor,Other,Phd,,
PMC7646399,2020,BMC_Bioinformatics,"Developing the novel bioinformatics algorithms to systematically investigate the connections among survival time, key genes and proteins for Glioblastoma multiforme",no,yes,no,,,No,No,No,,,,,,no,53,Male,Professor,CS,Postdoc,,
PMC7367324,2020,BMC_Bioinformatics,Deep user identification model with multiple biometric data,no,yes,no,,,No,No,No,,,,,,no,14,Male,Associate Professor,"Other, Information Technology",Phd,Phd,Other
PMC7671827,2020,BMC_Bioinformatics,Alignment of biological networks by integer linear programming: virus-host protein-protein interaction networks,no,yes,no,,,No,No,No,,,,,,no,21,Male,Professor,Bioinformatics,Phd,Phd,CS
PMC7288679,2020,BMC_Bioinformatics,PhyteByte: identification of foods containing compounds with specific pharmacological properties,no,yes,no,,,No,Yes,Yes,Tool,GitHub,yes,notebook,multiple,yes,25,Male,Assistant Professor,Other,Phd,Postdoc,Other
PMC7372900,2020,BMC_Bioinformatics,LogicNet: probabilistic continuous logics in reconstructing gene regulatory networks,no,yes,no,,,No,Yes,Yes,Package,GitHub,no,,,yes,43,Male,Associate Professor,,,Phd,Other
PMC7718714,2020,BMC_Bioinformatics,Regional registration of whole slide image stacks containing major histological artifacts,no,yes,no,,,Yes,Yes,Yes,Pipeline,GitHub,no,,,partial,28,Male,Head of Division,Other,Phd,Phd,CS
PMC7191778,2020,BMC_Bioinformatics,2SigFinder: the combined use of small-scale and large-scale statistical testing for genomic island detection from a single genome,no,yes,no,,,No,Yes,Yes,Matlab,GitHub,no,,,no,46,Male,Assistant Professor,Other,Phd,Phd,Other
PMC7014945,2020,BMC_Bioinformatics,GARS: Genetic Algorithm for the identification of a Robust Subset of features in high-dimensional datasets,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,35,,,,,,
PMC7068914,2020,BMC_Bioinformatics,Dynamic incorporation of prior knowledge from multiple domains in biomarker discovery,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,27,Female,Assistant Professor,Other,MD,Phd,Other
PMC7722319,2020,Genome_Biol,Response to “A reappraisal of the phylogenetic placement of the Aquilegia whole-genome duplication”,no,no,no,,,No,No,No,,,,,,no,none,Male,Assistant Professor,Other,Phd,,
PMC7425127,2020,Genome_Biol,Sc3.0: revamping and minimizing the yeast genome,no,no,no,,,No,No,No,,,,,,no,14,Male,Professor,Bioinformatics,Postdoc,Phd,Other
PMC7444084,2020,Genome_Biol,GBAT: a gene-based association test for robust detection of trans-gene regulation,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,42,Male,Associate Professor,Bioinformatics,Phd,Postdoc,"Other, Genetics"
PMC7384222,2020,Genome_Biol,Bayesian model selection reveals biological origins of zero inflation in single-cell transcriptomics,no,no,no,,,No,Yes,Yes,Package,GitHub,no,,,no,33,Male,Professor,"Other, Biostatistics",Phd,Postdoc,CS
PMC7477834,2020,Genome_Biol,Long-read-based human genomic structural variation detection with cuteSV,no,yes,no,,,Yes,Yes,Yes,Package,Zenodo,no,,,yes,53,Male,Professor,CS,MS,BS,Bioinformatics
PMC7104480,2020,Genome_Biol,Avocado: a multi-scale deep tensor factorization method learns a latent representation of the human epigenome,no,yes,yes,other,ENCODE,Yes,Yes,Yes,Package,Zenodo/GitHub,no,,,yes,54,Male,Professor,CS,Phd,Postdoc,CS
PMC7291511,2020,Genome_Biol,SURF: integrative analysis of a compendium of RNA-seq and CLIP-seq datasets highlights complex governing of alternative transcriptional regulation by RNA-binding proteins,yes,,,,,No,Yes,Yes,Package,GitHub,yes (partial),Rmd,single,no,81,Female,Professor,Other,Phd,Phd,Other
PMC6979394,2020,Genome_Biol,CUBIC: an atlas of genetic architecture promises directed maize improvement,yes,,,,,No,Yes,Yes,Package,GitHub,no,,,no,82,Male,Professor,"Other, Genetics",Phd,Phd,Other
PMC7236505,2020,Genome_Biol,tappAS: a comprehensive computational framework for the analysis of the functional impact of differential splicing,yes,,,,,Yes,Yes,Yes,Software,GitHub,no,,,yes,138,Female,Professor,Other ,Phd,Phd,Bioinformatics
PMC7017486,2020,Genome_Biol,Genotyping structural variants in pangenome graphs using the vg toolkit,yes,,,,,Yes,Yes,Yes,Package,Zenodo/GitHub,no,,,yes,61,Male,Associate Professor,CS,Postdoc,Phd,Other
PMC7523053,2020,Genome_Med,Understanding the impact of antibiotic perturbation on the human microbiome,no,yes,no,,,No,No,No,,,,,,no,123,Male,Professor,"Other, genetics",Postdoc,"MD, Phd",Other
PMC7310558,2020,Genome_Med,Whole-genome sequence association analysis of blood proteins in a longitudinal wellness cohort,no,yes,no,,,No,No,No,,,,,,no,46,Male,Professor,Other,Posddoc,Postdoc,Other
PMC7523332,2020,Genome_Med,Single-cell transcriptome analysis of tumor and stromal compartments of pancreatic ductal adenocarcinoma primary tumors and metastatic lesions,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,no,44,Male,Assistant Professor,Other,Phd,Phd,Other
PMC7081711,2020,Genome_Med,Methylome-based cell-of-origin modeling (Methyl-COOM) identifies aberrant expression of immune regulatory molecules in CLL,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,no,94,Male,Professor,,Phd,Phd,Bioinformatics
PMC7768597,2020,Genome_Med,Statistical power in COVID-19 case-control host genomic study design,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,29,Female,Associate Professor,"Other, Biostatistics",Postdoc,Phd,Other Statistics
PMC7315544,2020,Genome_Med,Discovery of CD80 and CD86 as recent activation markers on regulatory T cells by protein-RNA single-cell analysis,no,yes,yes,GEO,,No,No,No,,,,,,no,59,Male,Senior Research Associate,"Other, Genetics",Postdoc,,
PMC7031924,2020,Genome_Med,A chromosomal connectome for psychiatric and metabolic risk variants in adult dopaminergic neurons,no,yes,yes,GEO,,No,No,No,,,,,,no,114,Male,Professor,Other,"MD,Phd",Postdoc,Bioinformatics
PMC7036260,2020,Genome_Med,Cell-free DNA analysis reveals POLR1D-mediated resistance to bevacizumab in colorectal cancer,no,yes,yes,GEO,,Yes,Yes,Yes,Analytical,GitHub,no,,,yes,78,Male,Professor,"CS,Genetics","MD,Postdoc",,
PMC7708171,2020,Genome_Med,Whole blood co-expression modules associate with metabolic traits and type 2 diabetes: an IMI-DIRECT study,yes,,,,,No,Yes,Yes,Package,GitHub,yes,Rmd,multiple,no,63,Male,Head of Research,Computational Biology,Phd,Phd,Other
PMC7687775,2020,Genome_Med,Genetic feature engineering enables characterisation of shared risk factors in immune-mediated diseases,yes,,,,,Yes,Yes,Yes,Package,Zenodo/GitHub,no,,,yes,65,Male,Director of Research,"Other, Genetics",Phd,Phd,
PMC7520880,2020,Nat_Biotechnol,Whither COVID-19 vaccines?,no,no,no,,,No,No,No,,,,,,no,28,Female,Senior Editor,Other,Postdoc,,
PMC7418581,2020,Nat_Biotechnol,A singular view of COVID-19,no,no,no,,,No,No,No,,,,,,no,0,Male,Technology Editor,Other ,MS,,
PMC7416462,2020,Nat_Biotechnol,Combinatorial single-cell CRISPR screens by direct guide RNA capture and targeted sequencing,no,yes,no,,,Yes,Yes,Yes,Analytical,10xGenomics,yes,notebook,multiple,yes,64,Female,Assistant Professor,"Other, Genetics",Phd,Phd,"Other, Genetics"
PMC7541396,2020,Nat_Biotechnol,Analyzing the M. tuberculosis immune response by T cell receptor clustering with GLIPH2 and genome-wide antigen screening,no,yes,no,,,Yes,Yes,Yes,software,downloadable file,uncertain,uncertain,uncertain,no,65,Male,Professor,Other ,Phd,Phd,"Other, Biotechnology"
PMC7878194,2020,Nat_Biotechnol,Context-aware dimensionality reduction deconvolutes gut microbial community dynamics,no,yes,no,,,Yes,Yes,Yes,Tool,GitHub,yes,notebook,multiple,yes,18,Male,Professor,Other,Phd,Phd,Bioinformatics
PMC7454550,2020,Nat_Biotechnol,Thank you for sharing,no,no,no,,,,,,,,,,,,0,,,,,,
PMC7008032,2020,Nat_Biotechnol,An integrated perfusion machine preserves injured human livers for 1 week,no,yes,No (Available upon request),,,No,No,No,,,,,,no,94,Male,Professor,Other,MD,MD,Other
PMC7854778,2020,Nat_Biotechnol,CRISPR C-to-G base editors for inducing targeted DNA transversions in human cells,no,yes,yes,SRA,,Yes,No (available upon request),No,,,,,,no,93,Male,Professor,"Other, Genetics","MD, Phd",Phd,Other
PMC7878201,2020,Nat_Biotechnol,Single-cell metabolic profiling of human cytotoxic T cells,no,yes,yes,other,Zenodo,Yes,No (available upon request),No,,,,,,no,47,Male,Professor,Other,Phd,Postdoc,Other
